country,sex,age,agecode,pi_2014,pi_2024,Lx_2014,Lx_2024,d_prev,d_mort,d_total
United Kingdom,Male,<1,1,0.951051743674088,0.930795843829628,-4.263256414560601e-14,4.615520323188051,-0.046745758698282895,4.342852892632942,4.29610713393466
United Kingdom,Male,01 to 04,2,0.949304344854187,0.926846817779985,4.702788533462064,5.3436501792764936e-14,-0.05280650040723613,-4.411571087338702,-4.464377587745938
United Kingdom,Male,05 to 09,3,0.946129366682256,0.91857955313954,4.253547607778997,8.311774467258179,-0.17308614013572388,3.7837059117656118,3.610619771629888
United Kingdom,Male,10 to 14,4,0.940919633589465,0.908811923416584,3.90581804867368,3.685653214924896,-0.12187237955868868,-0.20362292036405832,-0.325495299922747
United Kingdom,Male,15 to 19,5,0.931954904732217,0.894189902066641,3.668936491318557,3.5718615193889898,-0.13672437808763407,-0.08863647792966199,-0.22536085601729605
United Kingdom,Male,20 to 24,6,0.917117452884088,0.874475693561545,6.743268627369035,6.722582167093817,-0.28710378432537964,-0.01853086022665053,-0.30563464455203015
United Kingdom,Male,25 to 29,7,0.902566166438758,0.859881868006112,5.85210734554187,3.0564637502954084,-0.19012805363158122,-2.463588279725258,-2.653716333356839
United Kingdom,Male,30 to 34,8,0.88466932798562,0.843251033967318,5.187646871020438,5.6412146317392295,-0.22425648480238575,0.39186448463569895,0.1676079998333132
United Kingdom,Male,35 to 39,9,0.861326566008939,0.822665552362095,4.736000920779159,5.006916338081277,-0.18833552855243732,0.228109713740983,0.03977418518854567
United Kingdom,Male,40 to 44,10,0.83419932494327,0.797821691703328,4.405025776409111,4.554736879516417,-0.1629674799070939,0.12216583334823436,-0.04080164655885954
United Kingdom,Male,45 to 49,11,0.803402135785839,0.767500437509708,5.915707489541093,4.274838352446806,-0.18292895104406537,-1.2888227749513297,-1.4717517259953952
United Kingdom,Male,50 to 54,12,0.766351812350991,0.734199222849034,3.636799025530149,4.0762504272307005,-0.12399725643145677,0.32970962787093233,0.20571237143947557
United Kingdom,Male,55 to 59,13,0.723423106990899,0.698301626257691,5.203767597154349,5.490902192178088,-0.13433297053036808,0.20411317775828344,0.06978020722791536
United Kingdom,Male,60 to 64,14,0.678532958140644,0.656876990224339,4.636190358739794,4.687009330717335,-0.10095145667609406,0.03393208037224457,-0.06701937630384949
United Kingdom,Male,65 to 69,15,0.636815097557752,0.618982482783657,4.90374199065529,3.816220224105604,-0.07774986351024779,-0.6828536015008555,-0.7606034650111033
United Kingdom,Male,70 to 74,16,0.587284957687215,0.581191752048426,3.035915273696837,3.053974275378156,-0.01855347467001301,0.010550761432849094,-0.008002713237163917
United Kingdom,Male,75 to 79,17,0.529768757913537,0.531446026689346,4.023454111526055,3.2589746517864806,0.006107295188379073,-0.40563845260043047,-0.3995311574120514
United Kingdom,Male,80 to 84,18,0.467355678435998,0.473925578127399,2.2022779429887978,2.665022768903764,0.015988838722509363,0.21778651560272502,0.23377535432523439
United Kingdom,Male,85 to 89,19,0.404599082787585,0.410831477620495,1.7475142152857908,1.3221541583416856,0.009565692655271553,-0.17342579480457226,-0.16386010214930072
United Kingdom,Male,90+,20,0.332883839547673,0.338539860328495,0.8597449370859324,1.0190991585939,0.005313390624544927,0.053497100497883025,0.05881049112242795
United Kingdom,Female,<1,1,0.940996988559741,0.913228118171161,-2.8421709430404014e-14,-7.105427357601003e-14,1.3811678394408494e-15,-3.952518540154917e-14,-3.814401756210832e-14
United Kingdom,Female,01 to 04,2,0.940011820054688,0.908975626679003,4.595657813033682,4.414572344610006,-0.139821622766029,-0.16741237895063377,-0.30723400171666276
United Kingdom,Female,05 to 09,3,0.936437995850492,0.900487253853591,4.190755996802971,4.147788557567381,-0.14988843195191645,-0.03946398702349068,-0.18935241897540714
United Kingdom,Female,10 to 14,4,0.929326361043091,0.887860510062346,7.419074780726249,3.9849937917885714,-0.2364397040010482,-3.120183443705162,-3.35662314770621
United Kingdom,Female,15 to 19,5,0.917391366613234,0.861651094441978,3.3700452698649004,7.803674737882765,-0.3114130971986317,3.9438075400947055,3.6323944428960737
United Kingdom,Female,20 to 24,6,0.902618553262242,0.839236906937343,6.233559350817197,3.726942854477318,-0.3156565139971771,-2.1830818153879856,-2.4987383293851626
United Kingdom,Female,25 to 29,7,0.886165891253904,0.827763182661612,2.9015329399113594,3.537527382728961,-0.1880292818156762,0.5450246831968931,0.3569954013812169
United Kingdom,Female,30 to 34,8,0.866260394736455,0.811790434509185,5.50458961917935,6.497353362501411,-0.3268726784310568,0.8329540113632949,0.5060813329322382
United Kingdom,Female,35 to 39,9,0.842099001206491,0.79076060251894,5.050734949401503,5.775548197333264,-0.27790202024569166,0.5917591363963992,0.31385711615070755
United Kingdom,Female,40 to 44,10,0.814481942423923,0.766701265071769,6.704168232668173,2.778296415502268,-0.22653929192871952,-3.103761296041663,-3.330300587970383
United Kingdom,Female,45 to 49,11,0.783324599504676,0.736414770712164,4.010062356517486,5.567465589927478,-0.22464009811161634,1.1834235045580854,0.9587834064464691
United Kingdom,Female,50 to 54,12,0.748484741070988,0.706337034561856,3.8872471429982345,5.162279554197194,-0.19070839763997338,0.9274724582249483,0.7367640605849749
United Kingdom,Female,55 to 59,13,0.710444516845876,0.678051581119573,5.396228835244262,6.525433718804254,-0.19308882443198327,0.783948287313289,0.5908594628813058
United Kingdom,Female,60 to 64,14,0.671156221037397,0.645105974721041,4.656827607704416,3.757259568031327,-0.10959452172760416,-0.592033701567107,-0.7016282232947112
United Kingdom,Female,65 to 69,15,0.626970050645171,0.618887422515046,4.1191751942451456,4.595992628355037,-0.03522073030085401,0.29702328180944393,0.26180255150858994
United Kingdom,Female,70 to 74,16,0.577276905930496,0.58671102591309,4.615955276655939,4.432569715385007,0.04268243522020746,-0.10672929009686334,-0.06404685487665587
United Kingdom,Female,75 to 79,17,0.522403683194559,0.532428880298745,3.5841022554639634,3.501448053434252,0.035517019219165426,-0.04359317190524697,-0.008076152686081542
United Kingdom,Female,80 to 84,18,0.46411241907708,0.463753560047051,2.757364084212728,3.477235411704429,-0.0011186711638621364,0.3339720570632377,0.3328533858993755
United Kingdom,Female,85 to 89,19,0.404398941562515,0.391904795181679,2.209856517609416,1.81162491809136,-0.025122488862730035,-0.1585566553929227,-0.18367914425565274
United Kingdom,Female,90+,20,0.322344408439895,0.325992126498008,1.520334504215783,1.926650731924359,0.006286815145958712,0.1317148275808091,0.13800164272676782
England,Male,<1,1,0.95026834616446,0.930998225204341,4.929232870409322,4.625247367123023,-0.0920579949441576,-0.28593888275661733,-0.37799687770077495
England,Male,01 to 04,2,0.948984595313346,0.927237847964758,-1.3304976626472272e-14,5.334976663491596e-14,-4.3542196547044196e-16,6.252956262897829e-14,6.209414066350784e-14
England,Male,05 to 09,3,0.946264837389029,0.919059548475642,8.404485911856705,8.317418686433887,-0.2274621228892953,-0.081204309395379,-0.3086664322846743
England,Male,10 to 14,4,0.941295942886169,0.909406872119563,3.622049129856383,3.687051797729824,-0.11654021836003133,0.06015031020812975,-0.05638990815190158
England,Male,15 to 19,5,0.932570685884897,0.894750821166392,3.3983676945264776,3.5743002992901096,-0.13185268012659634,0.16074271623806943,0.02889003611147309
England,Male,20 to 24,6,0.918217985689191,0.875103660862981,6.231696102644978,6.725946293768407,-0.2793300016304186,0.44317478327709686,0.16384478164667826
England,Male,25 to 29,7,0.903791659329775,0.860956997739692,5.409331698998808,3.051114919904405,-0.18120018391084042,-2.0808299469927656,-2.262030130903606
England,Male,30 to 34,8,0.885924675898217,0.844715389476444,4.798255898723639,5.6216947887445,-0.21469936619031257,0.7125381672288705,0.49783880103855793
England,Male,35 to 39,9,0.862780709947116,0.824097479276485,4.378714105219593,4.995837403119551,-0.1813189692153972,0.5205059156445893,0.33918694642919206
England,Male,40 to 44,10,0.835719524565035,0.79932624061783,4.073655333369921,4.546524790764428,-0.156858331466837,0.38658160189860424,0.22972327043176724
England,Male,45 to 49,11,0.804982250572523,0.769099772841101,3.858015443732606,4.267230824764767,-0.1457769841458386,0.32206928749354063,0.17629230334770205
England,Male,50 to 54,12,0.768446204309063,0.735821363048518,5.32446473340682,4.070534152035249,-0.15325517364027227,-0.9431235526375451,-1.0963787262778173
England,Male,55 to 59,13,0.726351438845764,0.700126885194305,4.714711535496791,5.482461356017842,-0.1337081537933646,0.5475892386294658,0.41388108483610125
England,Male,60 to 64,14,0.682502945725996,0.658744680162593,4.180338751720738,4.689641479351933,-0.10536767293597957,0.34155053714696165,0.23618286421098209
England,Male,65 to 69,15,0.640116327281178,0.620771892698475,3.614461255771616,3.834312252702484,-0.07204615592802402,0.13860376609045727,0.06655761016243325
England,Male,70 to 74,16,0.590355953027762,0.583204246233622,4.008848496753057,3.074511707418511,-0.02532905764875739,-0.5482502343343456,-0.573579291983103
England,Male,75 to 79,17,0.532997713177118,0.532466235675025,3.1275921723286237,3.328737867870553,-0.001715697081226287,0.10715674353335743,0.10544104645213113
England,Male,80 to 84,18,0.470750695247395,0.47418935399506,2.7139069578231854,2.7595173357607967,0.009410619163407408,0.02154953638716673,0.030960155550574138
England,Male,85 to 89,19,0.407938804639104,0.409791374167582,1.4189798763291508,1.397780626730574,0.002609122338494418,-0.008667633082405922,-0.006058510743911503
England,Male,90+,20,0.33245183444728,0.335969391655303,0.792892031031599,1.041045141378194,0.003225489459935686,0.08293540313952032,0.086160892599456
England,Female,<1,1,0.940656478645112,0.913638982496438,2.8421709430404014e-14,4.510907036823994,-0.06093670674720972,4.182277222007079,4.121340515259869
England,Female,01 to 04,2,0.939780113748636,0.909474863593331,4.616028505969407,4.13389561631393,-0.13258431968286727,-0.4457933229678276,-0.5783776426506948
England,Female,05 to 09,3,0.936476870733064,0.901034076498792,4.202718770052227,3.8837591985934528,-0.14330368736134128,-0.29304585213993983,-0.4363495395012811
England,Female,10 to 14,4,0.929642865420961,0.888472044122713,7.430094289079877,3.730488323261752,-0.22974517615852552,-3.3631543829453285,-3.592899559103854
England,Female,15 to 19,5,0.91778988702663,0.862578100767296,3.3741953355241745,3.857893172240893,-0.19964826244965528,0.43058007212780947,0.2309318096781542
England,Female,20 to 24,6,0.903196850211953,0.840816014013519,6.236708494279588,7.343678501436021,-0.42357794834553886,0.9652849663962911,0.5417070180507523
England,Female,25 to 29,7,0.887144580739154,0.829851285275424,2.897734615778995,3.2603354104368685,-0.17640806274916274,0.3112920327205847,0.13488396997142196
England,Female,30 to 34,8,0.867558416375897,0.814148521199087,5.489974456278815,5.985337138654273,-0.3064475947033046,0.4165274297832809,0.11007983507997626
England,Female,35 to 39,9,0.843558717407411,0.793041335275319,5.036152251149822,2.829438520126005,-0.1986745273435986,-1.805753904224641,-2.0044284315682397
England,Female,40 to 44,10,0.816075616733676,0.768976795579972,4.697381315839056,5.447600671780777,-0.23890834612122755,0.5945684999499081,0.35566015382868055
England,Female,45 to 49,11,0.784973799852011,0.73871058684649,6.326197275117012,5.0910301749055495,-0.26409881272643726,-0.9410024127779344,-1.2051012255043716
England,Female,50 to 54,12,0.750202783788577,0.709209985016578,3.840104956043278,4.707058056124764,-0.17518606671463877,0.6326212121070673,0.4574351453924286
England,Female,55 to 59,13,0.712212417758664,0.681525295088455,5.3336957405088,4.266314855750099,-0.14729835140135103,-0.743824496530163,-0.8911228479315141
England,Female,60 to 64,14,0.673179408522653,0.648739057231181,4.603626663942043,5.543795722847853,-0.12400328391804635,0.6214134199489971,0.49741013603095074
England,Female,65 to 69,15,0.628967411860579,0.622426473070025,4.080611432070263,4.13353274814468,-0.026864107149785914,0.03311270565900247,0.006248598509216555
England,Female,70 to 74,16,0.578893441714478,0.589699127823435,4.599703037866729,4.040905025043246,0.046683849259164294,-0.3265036028290369,-0.2798197535698726
England,Female,75 to 79,17,0.523321786946501,0.535046149350751,3.6081626041914383,3.2218081780678767,0.04003852633082357,-0.20445256832785152,-0.16441404199702797
England,Female,80 to 84,18,0.464295589248415,0.466113299268086,2.805612986158875,3.227710161937259,0.005483415969103539,0.1963614820809601,0.20184489805006364
England,Female,85 to 89,19,0.404106778375659,0.392917051572496,2.263973445845768,1.727202356824383,-0.022330083427636878,-0.2139096745886331,-0.23623975801626998
England,Female,90+,20,0.322160315859933,0.325675599527085,1.544336811316771,1.895146968524164,0.006045380577354594,0.11363370966075756,0.11967909023811216
Northern Ireland,Male,<1,1,0.956951061247225,0.94075368382839,1.4210854715202004e-14,1.4210854715202004e-14,-2.3017857726635753e-16,0.0,-2.3017857726635753e-16
Northern Ireland,Male,01 to 04,2,0.951863289731391,0.937467471425917,4.300215195746028,4.44932461856833,-0.06297839271169003,0.14085850965829314,0.0778801169466031
Northern Ireland,Male,05 to 09,3,0.94639198856387,0.929180027695402,7.526265562034014,4.158483247314647,-0.10055871963219355,-3.1582591331702607,-3.2588178528024545
Northern Ireland,Male,10 to 14,4,0.941024342859057,0.918876649364623,3.3020203674480606,3.933058414558478,-0.0801201536359819,0.5868341449757795,0.5067139913397976
Northern Ireland,Male,15 to 19,5,0.932648321269593,0.905561407958914,5.932482956207523,7.158834739527758,-0.17730169377346922,1.1271458897779925,0.9498441960045232
Northern Ireland,Male,20 to 24,6,0.914979053845617,0.888179117766233,2.7878040732265053,3.3259418210174,-0.08192399958566625,0.48517373869097435,0.4032497391053081
Northern Ireland,Male,25 to 29,7,0.899572925357051,0.870015013074629,5.1873437332478805,6.214525684795319,-0.1685077280570754,0.9088443960165309,0.7403366679594555
Northern Ireland,Male,30 to 34,8,0.880694852403004,0.849234668683812,6.683753034814626,5.548130928059402,-0.19240865835192772,-0.9822731036373329,-1.1746817619892607
Northern Ireland,Male,35 to 39,9,0.851925500130352,0.825794774778789,4.0094507981598655,5.025489473482069,-0.1180447714030253,0.8523143428399435,0.7342695714369182
Northern Ireland,Male,40 to 44,10,0.819170694528215,0.798790086005645,5.518334091354364,4.638572200550495,-0.1035019654678703,-0.7117101177644863,-0.8152120832323566
Northern Ireland,Male,45 to 49,11,0.782419195415222,0.767863866168896,3.425589460736524,4.371953971562416,-0.05674790598481885,0.7335664356088599,0.6768185296240411
Northern Ireland,Male,50 to 54,12,0.734799774572286,0.733723610081085,5.068405094528378,4.193705382796938,-0.004983777204638936,-0.6422584906135915,-0.6472422678182305
Northern Ireland,Male,55 to 59,13,0.686294496147658,0.696876972462362,4.695647852086759,5.686059096450144,0.05493208394454481,0.6849542876969906,0.7398863716415355
Northern Ireland,Male,60 to 64,14,0.629623834667917,0.657168418949172,4.575041936426455,4.77877122710445,0.12882344751699448,0.13107863653967386,0.25990208405666837
Northern Ireland,Male,65 to 69,15,0.588938819261099,0.617263877719885,3.832081269217776,2.886001976484889,0.09514505033275929,-0.570581697226135,-0.4754366468933758
Northern Ireland,Male,70 to 74,16,0.543988450607675,0.574636702253374,3.9866118784242905,4.813678530607623,0.134856757505621,0.46258878011242816,0.5974455376180492
Northern Ireland,Male,75 to 79,17,0.490506653033353,0.528105126805153,2.934763293340217,2.6485998931802164,0.10496296716341103,-0.14574470518080831,-0.04078173801739729
Northern Ireland,Male,80 to 84,18,0.430239303715083,0.47766434319589,2.2130389485393587,2.6420916183064302,0.11512737940856722,0.19476924179920682,0.30989662120777406
